Rank	Gene.ID	AUC value	Avg. Diff.1	Power2	Pct.13	Pct.24	p.value	Cluster.ID	Associated.Cell.Population	Surface Marker5
23	RGS10	0.88	1.41	0.76	0.982	0.568	1.64E-59	DC1	CD141/CLEC9A	0
24	AX747832	0.88	4.25	0.76	0.765	0.03	8.54E-101	DC1	CD141/CLEC9A	0
25	CYB5R3	0.88	1.33	0.75	1	0.774	9.09E-62	DC1	CD141/CLEC9A	1
26	ID2	0.87	1.25	0.75	1	0.773	4.88E-72	DC1	CD141/CLEC9A	0
27	XCR1	0.87	4.84	0.74	0.753	0.028	4.36E-100	DC1	CD141/CLEC9A	1
28	FAM190A	0.87	2.44	0.73	0.843	0.21	3.12E-66	DC1	CD141/CLEC9A	0
29	ASAP1	0.87	1.37	0.73	0.976	0.429	3.52E-58	DC1	CD141/CLEC9A	0
30	SLAMF8	0.87	2.93	0.73	0.789	0.099	4.08E-75	DC1	CD141/CLEC9A	1
31	CD59	0.86	2.14	0.72	0.843	0.241	1.50E-68	DC1	CD141/CLEC9A	1
32	DHRS3	0.86	2.53	0.72	0.789	0.115	1.48E-76	DC1	CD141/CLEC9A	1
33	GCET2	0.86	3.35	0.72	0.759	0.076	7.54E-75	DC1	CD141/CLEC9A	0
34	FNBP1	0.85	1.24	0.71	0.988	0.865	1.45E-55	DC1	CD141/CLEC9A	0
35	TMEM14A	0.85	2.16	0.7	0.795	0.106	1.10E-78	DC1	CD141/CLEC9A	1
36	NET1	0.85	2.61	0.7	0.777	0.123	3.04E-64	DC1	CD141/CLEC9A	0
37	BTLA	0.85	1.5	0.7	0.855	0.17	1.17E-61	DC1	CD141/CLEC9A	1
38	BCL6	0.84	1.19	0.68	0.958	0.509	9.70E-52	DC1	CD141/CLEC9A	0
39	FLT3	0.84	1.17	0.67	0.97	0.429	1.04E-59	DC1	CD141/CLEC9A	1
40	ADAM28	0.84	1.62	0.67	0.88	0.306	9.85E-51	DC1	CD141/CLEC9A	1
41	SLAMF7	0.83	1.06	0.67	1	0.753	9.83E-69	DC1	CD141/CLEC9A	1
42	BATF3	0.83	1.52	0.67	0.849	0.214	2.53E-52	DC1	CD141/CLEC9A	0
43	LGALS2	0.83	1.25	0.66	0.964	0.351	3.92E-54	DC1	CD141/CLEC9A	0
44	VAC14	0.83	2.21	0.66	0.771	0.16	4.83E-54	DC1	CD141/CLEC9A	0
45	PPA1	0.83	1.12	0.66	0.976	0.545	9.04E-62	DC1	CD141/CLEC9A	0
46	APOL3	0.82	1.68	0.64	0.825	0.286	2.87E-50	DC1	CD141/CLEC9A	0
47	C1ORF21	0.82	2.01	0.64	0.663	0.028	5.45E-70	DC1	CD141/CLEC9A	0
48	CCND1	0.82	3.86	0.64	0.645	0.021	3.42E-81	DC1	CD141/CLEC9A	0
49	ANPEP	0.81	1.01	0.61	0.934	0.401	1.05E-42	DC1	CD141/CLEC9A	1
50	ELOVL5	0.81	1.04	0.61	0.988	0.651	2.15E-42	DC1	CD141/CLEC9A	1
51	NCALD	0.8	3.43	0.6	0.633	0.047	6.33E-62	DC1	CD141/CLEC9A	0
52	ACTN1	0.8	1.57	0.6	0.91	0.76	6.60E-48	DC1	CD141/CLEC9A	1
53	PIK3CB	0.8	1.81	0.6	0.735	0.177	2.59E-42	DC1	CD141/CLEC9A	0
54	HAVCR2	0.8	1.18	0.59	0.964	0.75	2.73E-38	DC1	CD141/CLEC9A	1
55	GYPC	0.79	1.16	0.59	0.837	0.28	6.25E-38	DC1	CD141/CLEC9A	1
56	TLR10	0.79	1.7	0.58	0.843	0.474	2.13E-42	DC1	CD141/CLEC9A	1
57	ASB2	0.79	2.33	0.58	0.663	0.101	3.73E-50	DC1	CD141/CLEC9A	0
58	KIF16B	0.79	1.65	0.58	0.711	0.163	1.84E-41	DC1	CD141/CLEC9A	0
59	LRRC18	0.78	1.83	0.57	0.663	0.106	5.92E-44	DC1	CD141/CLEC9A	0
60	DST	0.78	1.1	0.57	0.849	0.345	1.31E-33	DC1	CD141/CLEC9A	0
61	DENND1B	0.78	1.36	0.56	0.741	0.191	1.70E-37	DC1	CD141/CLEC9A	1
62	DNASE1L3	0.78	2.13	0.56	0.783	0.401	1.43E-34	DC1	CD141/CLEC9A	0
63	SLC24A4	0.78	1.01	0.56	0.964	0.832	4.32E-34	DC1	CD141/CLEC9A	1
64	VAV3	0.78	1.37	0.56	0.759	0.252	2.99E-36	DC1	CD141/CLEC9A	0
65	THBD	0.77	1.11	0.54	0.783	0.267	6.08E-35	DC1	CD141/CLEC9A	1
66	NAV1	0.77	1.18	0.54	0.946	0.786	6.02E-34	DC1	CD141/CLEC9A	0
67	GSTM4	0.77	1.06	0.54	0.819	0.34	2.41E-32	DC1	CD141/CLEC9A	0
68	TRERF1	0.77	1.14	0.53	0.789	0.3	1.06E-29	DC1	CD141/CLEC9A	0
69	B3GNT7	0.77	2.22	0.53	0.62	0.127	1.31E-40	DC1	CD141/CLEC9A	0
70	LACC1	0.76	1.59	0.52	0.657	0.153	3.52E-36	DC1	CD141/CLEC9A	0
71	LMNA	0.76	1.29	0.52	0.693	0.196	9.13E-34	DC1	CD141/CLEC9A	1
72	PTK2	0.76	1.78	0.51	0.627	0.135	2.09E-34	DC1	CD141/CLEC9A	0
73	IDO2	0.76	2.8	0.51	0.88	0.726	2.27E-129	DC1	CD141/CLEC9A	0
74	MTERFD3	0.75	2.36	0.5	0.554	0.062	2.90E-43	DC1	CD141/CLEC9A	0
75	CD93	0.75	1.08	0.5	0.723	0.243	3.73E-29	DC1	CD141/CLEC9A	1
76	DPP4	0.75	2.01	0.5	0.572	0.085	6.23E-38	DC1	CD141/CLEC9A	1
77	SLC9A9	0.75	1.15	0.49	0.729	0.269	1.29E-25	DC1	CD141/CLEC9A	1
78	FCRL6	0.74	3.52	0.48	0.518	0.054	3.27E-48	DC1	CD141/CLEC9A	1
79	PDLIM7	0.74	1.31	0.48	0.645	0.175	1.09E-28	DC1	CD141/CLEC9A	0
80	CYP2E1	0.74	3.05	0.48	0.56	0.146	1.99E-47	DC1	CD141/CLEC9A	0
81	PDE4DIP	0.74	1.37	0.47	0.663	0.215	1.06E-25	DC1	CD141/CLEC9A	0
82	LIMA1	0.74	1.96	0.47	0.56	0.106	1.00E-34	DC1	CD141/CLEC9A	0
83	CTTNBP2NL	0.73	1.34	0.47	0.651	0.22	3.72E-25	DC1	CD141/CLEC9A	0
84	PPM1M	0.73	1.18	0.47	0.651	0.191	1.44E-27	DC1	CD141/CLEC9A	0
85	OSBPL3	0.73	1.11	0.45	0.608	0.177	1.08E-24	DC1	CD141/CLEC9A	0
86	PLCD1	0.73	1.94	0.45	0.53	0.095	1.65E-33	DC1	CD141/CLEC9A	0
87	CD38	0.72	1.25	0.44	0.584	0.163	4.15E-25	DC1	CD141/CLEC9A	1
88	EHD4	0.72	1.16	0.43	0.741	0.418	9.15E-21	DC1	CD141/CLEC9A	0
89	ACSS2	0.72	1.46	0.43	0.584	0.182	1.37E-24	DC1	CD141/CLEC9A	1
90	LOC541471	0.72	1.1	0.43	0.651	0.243	7.13E-21	DC1	CD141/CLEC9A	0
91	FUCA1	0.7	1.11	0.41	0.633	0.241	6.11E-23	DC1	CD141/CLEC9A	0
92	SNX22	0.7	1.97	0.39	0.837	0.648	4.79E-56	DC1	CD141/CLEC9A	0
93	APOL1	0.7	1.62	0.39	0.867	0.785	1.30E-40	DC1	CD141/CLEC9A	1
94	DUSP10	0.69	1.37	0.39	0.524	0.153	2.09E-21	DC1	CD141/CLEC9A	0
95	FAM160A2	0.69	1.25	0.39	0.548	0.17	2.09E-19	DC1	CD141/CLEC9A	1
96	INF2	0.69	1.04	0.39	0.542	0.163	1.90E-19	DC1	CD141/CLEC9A	0
97	DUSP2	0.69	1.07	0.38	0.602	0.245	1.31E-22	DC1	CD141/CLEC9A	0
98	PALM2	0.69	1.14	0.38	0.681	0.429	6.56E-18	DC1	CD141/CLEC9A	0
99	RAB11FIP4	0.69	1.06	0.38	0.729	0.483	2.05E-17	DC1	CD141/CLEC9A	0
100	DSE	0.69	1.14	0.37	0.566	0.227	1.31E-16	DC1	CD141/CLEC9A	1
101	FAM135A	0.69	1.11	0.37	0.759	0.514	6.93E-17	DC1	CD141/CLEC9A	0
102	KCNK6	0.68	1.1	0.37	0.602	0.29	1.92E-18	DC1	CD141/CLEC9A	1
103	PPM1H	0.68	1.35	0.36	0.608	0.347	1.18E-19	DC1	CD141/CLEC9A	0
104	PAFAH1B3	0.68	1.07	0.35	0.512	0.16	1.13E-18	DC1	CD141/CLEC9A	0
105	PDLIM1	0.68	1.02	0.35	0.518	0.168	6.71E-18	DC1	CD141/CLEC9A	0
106	TGM2	0.67	2.18	0.34	0.584	0.359	1.28E-50	DC1	CD141/CLEC9A	0
107	SCARF1	0.65	1.61	0.31	0.602	0.389	4.59E-28	DC1	CD141/CLEC9A	0
108	CD40	0.65	1.32	0.3	0.572	0.354	7.12E-15	DC1	CD141/CLEC9A	1
109	STX3	0.64	1.11	0.28	0.518	0.323	5.65E-15	DC1	CD141/CLEC9A	1
110	WHAMMP3	0.63	1.11	0.27	0.584	0.385	5.89E-12	DC1	CD141/CLEC9A	0
111	PRELID2	0.63	1.65	0.26	0.548	0.363	2.41E-24	DC1	CD141/CLEC9A	0
112	PQLC2	0.62	1.17	0.24	0.687	0.559	5.55E-16	DC1	CD141/CLEC9A	1
113	CD1C	0.94	2.9	0.87	0.943	0.228	1.71E-80	DC2	CD1C_A	1
114	FCER1A	0.89	1.72	0.78	0.952	0.487	1.27E-64	DC2	CD1C_A	1
115	CLEC10A	0.88	2.03	0.75	0.895	0.242	3.62E-49	DC2	CD1C_A	1
116	ADAM8	0.82	1.52	0.63	0.867	0.334	1.01E-28	DC2	CD1C_A	1
117	CD1D	0.78	1.35	0.56	0.8	0.341	3.41E-26	DC2	CD1C_A	1
118	FCGR2B	0.78	2.63	0.56	0.676	0.215	8.00E-35	DC2	CD1C_A	1
119	CLEC4A	0.77	1.04	0.55	0.914	0.463	1.65E-22	DC2	CD1C_A	1
120	SLC2A3	0.77	1.03	0.54	0.8	0.32	4.81E-22	DC2	CD1C_A	1
121	CD33	0.76	1.02	0.52	0.905	0.633	1.29E-21	DC2	CD1C_A	1
122	ETS2	0.75	1.09	0.51	0.79	0.38	5.16E-22	DC2	CD1C_A	0
123	CLIC2	0.75	1.11	0.49	0.81	0.396	1.29E-15	DC2	CD1C_A	0
124	PEA15	0.75	1.06	0.49	0.867	0.477	8.72E-17	DC2	CD1C_A	0
125	CACNA2D3	0.74	1.4	0.48	0.924	0.724	6.48E-24	DC2	CD1C_A	1
126	CD1E	0.73	2.81	0.46	0.514	0.066	3.47E-29	DC2	CD1C_A	1
127	MBOAT7	0.73	1.32	0.45	0.686	0.295	4.03E-16	DC2	CD1C_A	1
128	C10ORF128	0.72	2.15	0.44	0.533	0.11	7.16E-22	DC2	CD1C_A	1
129	NR4A2	0.72	1.04	0.44	0.81	0.473	1.56E-12	DC2	CD1C_A	0
130	AGPAT9	0.72	1.24	0.44	0.686	0.283	7.06E-15	DC2	CD1C_A	1
131	ENTPD1	0.71	1.19	0.42	0.981	0.98	4.98E-17	DC2	CD1C_A	1
132	CD2	0.7	1.31	0.4	0.524	0.135	2.15E-16	DC2	CD1C_A	1
133	PER1	0.7	1.01	0.4	0.705	0.364	4.97E-11	DC2	CD1C_A	0
134	PID1	0.69	1.35	0.39	0.524	0.146	2.63E-15	DC2	CD1C_A	0
135	AREG	0.69	1.44	0.38	0.543	0.193	4.73E-13	DC2	CD1C_A	1
136	PTGS1	0.69	1.05	0.38	0.61	0.251	2.43E-11	DC2	CD1C_A	0
137	SMA	0.69	1.27	0.38	0.619	0.292	6.37E-12	DC2	CD1C_A	0
138	CLEC17A	0.69	2.36	0.37	0.514	0.204	2.01E-25	DC2	CD1C_A	1
139	ITGA5	0.67	1	0.34	0.61	0.283	3.75E-09	DC2	CD1C_A	1
140	CREB5	0.67	1.17	0.34	0.514	0.203	4.31E-10	DC2	CD1C_A	0
141	PTAFR	0.67	1.04	0.33	0.876	0.79	2.38E-12	DC2	CD1C_A	1
142	NOD2	0.66	1.13	0.31	0.533	0.237	2.05E-08	DC2	CD1C_A	0
143	CCR6	0.65	1.35	0.3	0.724	0.576	9.15E-12	DC2	CD1C_A	1
144	S100A9	0.99	2.9	0.97	1	0.561	2.20E-84	DC3	CD1C_B	0
145	S100A8	0.97	3.55	0.95	0.979	0.176	3.05E-87	DC3	CD1C_B	0
146	VCAN	0.97	2.8	0.95	1	0.24	6.42E-90	DC3	CD1C_B	1
147	LYZ	0.92	1.27	0.85	1	1	5.11E-71	DC3	CD1C_B	0
148	ANXA1	0.92	1.38	0.84	1	0.733	6.33E-64	DC3	CD1C_B	0
149	PLBD1	0.9	1.89	0.8	0.958	0.437	3.52E-46	DC3	CD1C_B	1
150	RNASE2	0.9	4.11	0.79	0.811	0.051	1.46E-70	DC3	CD1C_B	0
151	FCER1A	0.88	1.39	0.75	0.989	0.488	8.01E-49	DC3	CD1C_B	1
152	SLC2A3	0.86	1.92	0.72	0.905	0.312	8.99E-36	DC3	CD1C_B	1
153	CD163	0.86	2.58	0.71	0.779	0.099	2.09E-47	DC3	CD1C_B	1
154	CSF3R	0.85	1.78	0.7	0.895	0.338	5.69E-36	DC3	CD1C_B	1
155	MNDA	0.85	1.08	0.69	1	0.711	2.35E-31	DC3	CD1C_B	0
156	CD14	0.84	3.53	0.69	0.737	0.096	1.14E-50	DC3	CD1C_B	1
157	NAIP	0.84	1.52	0.69	0.968	0.706	1.28E-32	DC3	CD1C_B	0
158	CSTA	0.83	1.31	0.66	0.916	0.32	4.00E-31	DC3	CD1C_B	0
159	FCN1	0.83	1	0.66	0.989	0.501	5.67E-48	DC3	CD1C_B	1
160	CD1D	0.83	1.87	0.66	0.832	0.343	1.04E-37	DC3	CD1C_B	1
161	FPR1	0.82	1.21	0.63	0.916	0.371	1.10E-39	DC3	CD1C_B	1
162	F13A1	0.81	3.15	0.63	0.674	0.076	2.87E-44	DC3	CD1C_B	1
163	CLEC10A	0.81	1.33	0.62	0.842	0.26	1.97E-35	DC3	CD1C_B	1
164	CES1	0.8	2.46	0.61	0.684	0.122	3.86E-41	DC3	CD1C_B	1
165	PID1	0.8	1.88	0.61	0.716	0.124	1.93E-32	DC3	CD1C_B	0
166	S100A12	0.79	3.07	0.59	0.621	0.043	1.52E-45	DC3	CD1C_B	0
167	MTMR11	0.79	1.41	0.59	0.768	0.207	5.05E-28	DC3	CD1C_B	0
168	SMA	0.79	1.26	0.59	0.8	0.27	1.62E-24	DC3	CD1C_B	0
169	LAT2	0.79	1.19	0.58	0.884	0.49	3.40E-20	DC3	CD1C_B	0
170	RETN	0.78	1.68	0.56	0.695	0.164	3.40E-27	DC3	CD1C_B	0
171	TMEM173	0.78	1.17	0.56	0.811	0.303	1.06E-24	DC3	CD1C_B	1
172	AOAH	0.78	1.02	0.56	0.958	0.621	2.93E-20	DC3	CD1C_B	0
173	RAB3D	0.78	1.26	0.55	0.863	0.544	5.09E-21	DC3	CD1C_B	0
174	CD36	0.77	1.03	0.53	0.926	0.68	3.98E-24	DC3	CD1C_B	1
175	MGST1	0.76	1.33	0.53	0.726	0.255	3.55E-25	DC3	CD1C_B	1
176	TREM1	0.76	1.97	0.51	0.611	0.127	2.54E-27	DC3	CD1C_B	1
177	HNMT	0.74	1.37	0.48	0.642	0.176	3.44E-19	DC3	CD1C_B	0
178	CES1P1	0.74	1.71	0.48	0.526	0.059	4.73E-30	DC3	CD1C_B	0
179	ADAM15	0.74	1.3	0.47	0.705	0.281	4.54E-16	DC3	CD1C_B	1
180	IL13RA1	0.73	1.34	0.47	0.747	0.391	1.42E-15	DC3	CD1C_B	1
181	MICAL2	0.73	1.53	0.47	0.611	0.168	4.98E-18	DC3	CD1C_B	1
182	ITGA5	0.73	1.32	0.46	0.674	0.278	5.69E-16	DC3	CD1C_B	1
183	CREB5	0.73	1.42	0.45	0.6	0.195	1.02E-17	DC3	CD1C_B	0
184	IL1B	0.73	2.26	0.45	0.516	0.068	2.86E-23	DC3	CD1C_B	0
185	NR4A2	0.73	1.04	0.45	0.832	0.474	1.04E-12	DC3	CD1C_B	0
186	MPP7	0.72	1.86	0.45	0.568	0.172	2.09E-19	DC3	CD1C_B	0
187	PTAFR	0.72	1.37	0.44	0.874	0.791	8.86E-22	DC3	CD1C_B	1
188	HBEGF	0.72	2.35	0.44	0.505	0.076	3.64E-22	DC3	CD1C_B	1
189	NFE2	0.72	2.02	0.44	0.516	0.08	3.32E-21	DC3	CD1C_B	0
190	ASGR1	0.72	1.65	0.43	0.526	0.091	3.78E-20	DC3	CD1C_B	0
191	BST1	0.72	1.26	0.43	0.579	0.147	1.61E-18	DC3	CD1C_B	1
192	IL1RN	0.71	1.73	0.43	0.547	0.134	1.03E-17	DC3	CD1C_B	0
193	NOD2	0.71	1.11	0.41	0.611	0.23	2.95E-13	DC3	CD1C_B	0
194	NLRP3	0.7	1.45	0.41	0.705	0.467	1.27E-15	DC3	CD1C_B	0
195	DQ575504	0.69	1	0.39	0.832	0.56	9.29E-09	DC3	CD1C_B	0
196	LMNA	0.69	1.21	0.37	0.611	0.263	4.67E-10	DC3	CD1C_B	1
197	C9ORF89	0.68	1.15	0.36	0.558	0.201	7.49E-11	DC3	CD1C_B	1
198	IL27RA	0.68	1.11	0.35	0.568	0.269	3.46E-11	DC3	CD1C_B	1
199	NLRP12	0.62	1.02	0.24	0.884	0.866	2.09E-19	DC3	CD1C_B	0
200	RAB27A	0.62	1.24	0.23	0.695	0.589	2.36E-12	DC3	CD1C_B	0
201	EREG	0.6	1.74	0.21	0.653	0.546	4.04E-23	DC3	CD1C_B	1
202	LOC284454	0.6	1.3	0.21	0.895	0.864	7.40E-18	DC3	CD1C_B	0
203	FCGR3A	1	6.96	1	1	0.326	7.53E-293	DC4	CD1C– CD141–	1
204	FTL	1	1.91	1	1	0.998	1.43E-222	DC4	CD1C– CD141–	0
205	SERPINA1	1	3.31	1	1	0.536	8.33E-191	DC4	CD1C– CD141–	0
206	LST1	0.99	2.33	0.99	1	0.728	9.94E-152	DC4	CD1C– CD141–	1
207	AIF1	0.99	2.08	0.98	1	0.774	5.69E-135	DC4	CD1C– CD141–	0
208	SAT1	0.99	2.17	0.98	1	0.958	2.16E-135	DC4	CD1C– CD141–	0
209	CTSS	0.99	1.99	0.98	1	0.995	1.43E-132	DC4	CD1C– CD141–	0
210	MTSS1	0.99	3.95	0.97	0.989	0.106	6.63E-152	DC4	CD1C– CD141–	0
211	TCF7L2	0.98	4.59	0.96	0.971	0.076	8.21E-152	DC4	CD1C– CD141–	0
212	AK307192	0.98	4.96	0.96	0.971	0.141	1.87E-170	DC4	CD1C– CD141–	0
213	PSAP	0.98	1.23	0.96	1	1	6.35E-135	DC4	CD1C– CD141–	1
214	FTH1	0.98	1	0.96	1	1	5.68E-136	DC4	CD1C– CD141–	0
215	IFITM3	0.98	2.6	0.96	1	0.774	2.33E-149	DC4	CD1C– CD141–	1
216	MS4A7	0.98	3.4	0.96	0.989	0.489	6.35E-140	DC4	CD1C– CD141–	1
217	LILRB2	0.98	2.65	0.96	1	0.57	2.23E-129	DC4	CD1C– CD141–	1
218	PILRA	0.96	2.6	0.93	1	0.342	5.48E-110	DC4	CD1C– CD141–	1
219	CSF1R	0.96	2.38	0.91	1	0.504	2.87E-93	DC4	CD1C– CD141–	1
220	ASAH1	0.95	2.38	0.91	0.983	0.631	2.72E-100	DC4	CD1C– CD141–	1
221	LRRC25	0.95	1.91	0.91	1	0.758	2.74E-86	DC4	CD1C– CD141–	1
222	HLA-E	0.95	1.18	0.9	1	0.998	3.75E-77	DC4	CD1C– CD141–	1
223	IFITM2	0.94	1.65	0.89	1	0.862	1.71E-92	DC4	CD1C– CD141–	1
224	LYST	0.94	2.18	0.88	1	0.481	9.18E-95	DC4	CD1C– CD141–	0
225	HCK	0.94	1.6	0.88	1	0.755	1.44E-78	DC4	CD1C– CD141–	0
226	C5AR1	0.94	3.82	0.88	0.909	0.203	6.34E-138	DC4	CD1C– CD141–	1
227	WARS	0.94	2.01	0.88	1	0.85	3.70E-75	DC4	CD1C– CD141–	0
228	PECAM1	0.94	2.02	0.87	1	0.871	7.44E-82	DC4	CD1C– CD141–	1
229	CTSL1	0.94	4.58	0.87	0.903	0.155	2.47E-119	DC4	CD1C– CD141–	1
230	S100A11	0.93	1.25	0.86	1	0.942	8.85E-77	DC4	CD1C– CD141–	0
231	CFD	0.93	2.98	0.85	0.931	0.312	1.08E-86	DC4	CD1C– CD141–	0
232	HK3	0.93	3.34	0.85	0.897	0.141	1.42E-104	DC4	CD1C– CD141–	0
233	MAFB	0.92	3.64	0.85	0.874	0.076	3.05E-108	DC4	CD1C– CD141–	0
234	TNFRSF1B	0.92	2.06	0.85	0.983	0.644	4.36E-87	DC4	CD1C– CD141–	1
235	DUSP6	0.92	3.03	0.83	0.914	0.229	5.63E-91	DC4	CD1C– CD141–	0
236	CASP1	0.92	1.55	0.83	1	0.614	4.56E-97	DC4	CD1C– CD141–	0
237	SIGLEC10	0.92	2.38	0.83	0.977	0.822	1.07E-93	DC4	CD1C– CD141–	1
238	FGR	0.91	1.53	0.83	0.994	0.675	2.01E-69	DC4	CD1C– CD141–	0
239	SLC7A7	0.91	2.89	0.82	0.92	0.444	8.37E-95	DC4	CD1C– CD141–	1
240	BIN2	0.91	1.89	0.82	0.977	0.621	8.11E-59	DC4	CD1C– CD141–	0
241	LILRA2	0.91	1.87	0.82	0.994	0.575	2.36E-77	DC4	CD1C– CD141–	1
242	SIDT2	0.91	2.54	0.82	0.931	0.305	1.18E-76	DC4	CD1C– CD141–	1
243	NEAT1	0.91	1.95	0.82	1	0.903	7.30E-75	DC4	CD1C– CD141–	0
244	PTPN6	0.91	1.33	0.82	0.994	0.859	6.68E-56	DC4	CD1C– CD141–	0
245	RHOC	0.91	1.94	0.81	0.96	0.681	1.53E-65	DC4	CD1C– CD141–	0
246	SLC11A1	0.91	3.43	0.81	0.92	0.547	4.91E-127	DC4	CD1C– CD141–	1
247	LOC200772	0.91	4.61	0.81	0.817	0.025	4.42E-115	DC4	CD1C– CD141–	0
248	TYROBP	0.9	1.01	0.81	1	0.838	7.81E-89	DC4	CD1C– CD141–	1
249	IFI30	0.9	1.4	0.8	1	0.81	4.04E-93	DC4	CD1C– CD141–	1
250	EMR2	0.9	2.4	0.8	0.937	0.48	1.73E-80	DC4	CD1C– CD141–	1
251	GIMAP4	0.9	2.81	0.8	0.886	0.219	7.88E-76	DC4	CD1C– CD141–	1
252	DUSP1	0.9	1.29	0.79	1	0.88	7.30E-89	DC4	CD1C– CD141–	0
253	TNFSF10	0.9	2.56	0.79	0.943	0.423	6.35E-69	DC4	CD1C– CD141–	1
254	GBP2	0.9	3.19	0.79	0.857	0.164	3.48E-80	DC4	CD1C– CD141–	0
255	FAM110A	0.89	2.48	0.78	0.874	0.201	2.29E-76	DC4	CD1C– CD141–	0
256	LY6E	0.89	1.73	0.78	0.977	0.612	1.12E-61	DC4	CD1C– CD141–	1
257	TXNIP	0.89	1.28	0.78	1	0.952	1.16E-44	DC4	CD1C– CD141–	0
258	TSC22D3	0.89	1.64	0.77	0.989	0.723	3.75E-55	DC4	CD1C– CD141–	0
259	HMOX1	0.89	2.68	0.77	0.891	0.295	2.42E-64	DC4	CD1C– CD141–	1
260	CD68	0.88	1.2	0.76	1	0.905	2.39E-60	DC4	CD1C– CD141–	1
261	CD52	0.88	1.41	0.76	0.966	0.707	1.71E-61	DC4	CD1C– CD141–	1
262	TBXAS1	0.88	1.94	0.76	0.949	0.448	4.82E-62	DC4	CD1C– CD141–	1
263	TMEM176B	0.88	2.77	0.75	0.829	0.159	3.96E-79	DC4	CD1C– CD141–	1
264	C10ORF54	0.87	1.14	0.75	0.989	0.873	2.22E-40	DC4	CD1C– CD141–	1
265	S100A4	0.87	1.12	0.74	1	0.843	2.52E-90	DC4	CD1C– CD141–	0
266	BCL2A1	0.87	2.43	0.74	0.857	0.266	1.01E-59	DC4	CD1C– CD141–	0
267	CD97	0.87	1.77	0.74	0.983	0.647	3.48E-48	DC4	CD1C– CD141–	1
268	PTPRC	0.87	1.32	0.74	1	0.982	1.36E-49	DC4	CD1C– CD141–	1
269	FAM26F	0.87	2.18	0.73	0.874	0.291	3.02E-56	DC4	CD1C– CD141–	1
270	FCN1	0.87	1.65	0.73	0.96	0.441	3.04E-66	DC4	CD1C– CD141–	1
271	ITGAL	0.86	1.55	0.73	0.989	0.813	1.73E-46	DC4	CD1C– CD141–	1
272	OAS1	0.86	1.41	0.72	0.977	0.557	7.86E-63	DC4	CD1C– CD141–	0
273	FYB	0.86	1.49	0.72	1	0.691	1.10E-48	DC4	CD1C– CD141–	0
274	ABI3	0.86	1.65	0.72	0.949	0.478	3.12E-48	DC4	CD1C– CD141–	0
275	ITM2B	0.86	1.21	0.72	0.983	0.866	2.08E-37	DC4	CD1C– CD141–	1
276	LILRA6	0.86	1.68	0.72	0.989	0.81	1.60E-54	DC4	CD1C– CD141–	1
277	TSPAN14	0.86	2.06	0.72	0.926	0.61	1.35E-61	DC4	CD1C– CD141–	1
278	CD79B	0.86	2.97	0.71	0.783	0.141	4.60E-69	DC4	CD1C– CD141–	1
