Cell ID	Cluster IDs
CD1C_P4_S48	DC3
CD1C_P7_S10	DC3
CD1C_P7_S11	DC2
CD1C_P7_S12	DC3
CD1C_P7_S13	DC3
CD1C_P7_S14	DC3
CD1C_P7_S15	DC2
CD1C_P7_S16	DC2
CD1C_P7_S17	DC2
CD1C_P7_S18	DC2
CD1C_P7_S19	DC2
CD1C_P7_S1	DC2
CD1C_P7_S20	DC2
CD1C_P7_S21	DC2
CD1C_P7_S22	DC2
CD1C_P7_S23	DC3
CD1C_P7_S24	DC2
CD1C_P7_S2	DC3
CD1C_P7_S3	DC3
CD1C_P7_S4	DC2
CD1C_P7_S5	DC2
CD1C_P7_S6	DC3
CD1C_P7_S7	DC2
CD1C_P7_S8	DC3
CD1C_P7_S9	DC2
CD1C_P8_S25	DC2
CD1C_P8_S26	DC2
CD1C_P8_S27	DC2
CD1C_P8_S28	DC3
CD1C_P8_S30	DC2
CD1C_P8_S31	DC2
CD1C_P8_S32	DC2
CD1C_P8_S33	DC2
CD1C_P8_S34	DC2
CD1C_P8_S35	DC3
CD1C_P8_S36	DC2
CD1C_P8_S37	DC4
CD1C_P8_S38	DC3
CD1C_P8_S39	DC3
CD1C_P8_S40	DC3
CD1C_P8_S42	DC2
CD1C_P8_S43	DC3
CD1C_P8_S44	DC2
CD1C_P8_S45	DC2
CD1C_P8_S46	DC2
CD1C_P8_S47	DC3
CD1C_P9_S49	DC2
CD1C_P9_S50	DC3
CD1C_P9_S51	DC2
CD1C_P9_S52	DC3
CD1C_P9_S53	DC2
CD1C_P9_S54	DC2
CD1C_P9_S55	DC2
CD1C_P9_S56	DC3
CD1C_P9_S57	DC3
CD1C_P9_S58	DC2
CD1C_P9_S59	DC3
CD1C_P9_S60	DC3
CD1C_P9_S61	DC4
CD1C_P9_S62	DC3
CD1C_P9_S63	DC2
CD1C_P9_S64	DC3
CD1C_P9_S65	DC3
CD1C_P9_S66	DC3
CD1C_P9_S67	DC3
CD1C_P9_S68	DC2
CD1C_P9_S69	DC3
CD1C_P9_S70	DC3
CD1C_P9_S71	DC3
CD1C_P9_S72	DC2
DoubleNeg_P10_S73	DC4
DoubleNeg_P10_S74	DC4
DoubleNeg_P10_S75	DC4
DoubleNeg_P10_S76	DC4
DoubleNeg_P10_S77	DC4
DoubleNeg_P10_S78	DC4
DoubleNeg_P10_S79	DC4
DoubleNeg_P10_S80	DC4
DoubleNeg_P10_S81	DC3
DoubleNeg_P10_S82	DC4
DoubleNeg_P10_S83	DC4
DoubleNeg_P10_S84	DC4
DoubleNeg_P10_S85	DC4
DoubleNeg_P10_S86	DC4
DoubleNeg_P10_S87	DC4
DoubleNeg_P10_S88	DC4
DoubleNeg_P10_S89	DC4
DoubleNeg_P10_S90	DC4
DoubleNeg_P10_S91	DC4
DoubleNeg_P10_S92	DC4
DoubleNeg_P10_S93	DC4
DoubleNeg_P10_S94	DC4
DoubleNeg_P10_S95	DC4
DoubleNeg_P10_S96	DC4
DoubleNeg_P13_S49	DC4
DoubleNeg_P13_S50	DC4
DoubleNeg_P13_S51	DC4
DoubleNeg_P13_S52	DC4
DoubleNeg_P13_S53	DC4
DoubleNeg_P13_S54	DC4
DoubleNeg_P13_S55	DC4
DoubleNeg_P13_S56	DC4
DoubleNeg_P13_S57	DC4
DoubleNeg_P13_S58	DC4
DoubleNeg_P13_S59	DC4
DoubleNeg_P13_S60	DC4
DoubleNeg_P13_S61	DC4
DoubleNeg_P13_S62	DC4
DoubleNeg_P13_S63	DC4
DoubleNeg_P13_S64	DC4
DoubleNeg_P13_S65	DC4
DoubleNeg_P13_S66	DC4
DoubleNeg_P13_S67	DC4
DoubleNeg_P13_S68	DC4
DoubleNeg_P13_S69	DC4
DoubleNeg_P13_S70	DC4
DoubleNeg_P13_S71	DC4
DoubleNeg_P13_S72	DC3
DoubleNeg_P14_S73	DC4
DoubleNeg_P14_S74	DC4
DoubleNeg_P14_S75	DC4
DoubleNeg_P14_S76	DC4
DoubleNeg_P14_S77	DC4
DoubleNeg_P14_S78	DC4
DoubleNeg_P14_S79	DC4
DoubleNeg_P14_S80	DC4
DoubleNeg_P14_S81	DC4
DoubleNeg_P14_S82	DC4
DoubleNeg_P14_S83	DC4
DoubleNeg_P14_S84	DC5
DoubleNeg_P14_S85	DC4
DoubleNeg_P14_S86	DC4
DoubleNeg_P14_S87	DC4
DoubleNeg_P14_S88	DC4
DoubleNeg_P14_S89	DC4
DoubleNeg_P14_S90	DC4
DoubleNeg_P14_S91	DC4
DoubleNeg_P14_S92	DC4
DoubleNeg_P14_S93	DC4
DoubleNeg_P14_S94	DC4
DoubleNeg_P14_S95	DC4
DoubleNeg_P3_S10	DC4
DoubleNeg_P3_S12	DC4
DoubleNeg_P3_S13	DC4
DoubleNeg_P3_S14	DC3
DoubleNeg_P3_S15	DC4
DoubleNeg_P3_S16	DC4
DoubleNeg_P3_S17	DC4
DoubleNeg_P3_S18	DC4
DoubleNeg_P3_S19	DC4
DoubleNeg_P3_S1	DC4
DoubleNeg_P3_S20	DC4
DoubleNeg_P3_S21	DC4
DoubleNeg_P3_S22	DC2
DoubleNeg_P3_S23	DC4
DoubleNeg_P3_S24	DC4
DoubleNeg_P3_S2	DC4
DoubleNeg_P3_S3	DC4
DoubleNeg_P3_S4	DC4
DoubleNeg_P3_S5	DC4
DoubleNeg_P3_S7	DC4
DoubleNeg_P3_S8	DC4
DoubleNeg_P3_S9	DC4
DoubleNeg_P4_S25	DC4
DoubleNeg_P4_S26	DC4
DoubleNeg_P4_S27	DC4
DoubleNeg_P4_S28	DC3
DoubleNeg_P4_S29	DC4
DoubleNeg_P4_S30	DC4
DoubleNeg_P4_S31	DC4
DoubleNeg_P4_S32	DC4
DoubleNeg_P4_S33	DC4
DoubleNeg_P4_S34	DC4
DoubleNeg_P4_S35	DC4
DoubleNeg_P4_S36	DC4
DoubleNeg_P4_S37	DC4
DoubleNeg_P4_S38	DC4
DoubleNeg_P4_S39	DC4
DoubleNeg_P4_S40	DC3
DoubleNeg_P4_S41	DC4
DoubleNeg_P4_S42	DC4
DoubleNeg_P4_S43	DC4
DoubleNeg_P4_S44	DC4
DoubleNeg_P4_S45	DC4
DoubleNeg_P4_S46	DC4
DoubleNeg_P4_S47	DC4
DoubleNeg_P4_S48	DC4
DoubleNeg_P7_S10	DC4
DoubleNeg_P7_S11	DC4
DoubleNeg_P7_S12	DC4
DoubleNeg_P7_S13	DC4
DoubleNeg_P7_S14	DC4
DoubleNeg_P7_S15	DC4
DoubleNeg_P7_S16	DC4
DoubleNeg_P7_S17	DC4
DoubleNeg_P7_S18	DC4
DoubleNeg_P7_S19	DC4
DoubleNeg_P7_S1	DC4
DoubleNeg_P7_S20	DC4
DoubleNeg_P7_S21	DC4
DoubleNeg_P7_S22	DC4
DoubleNeg_P7_S23	DC4
DoubleNeg_P7_S24	DC4
DoubleNeg_P7_S2	DC4
DoubleNeg_P7_S3	DC4
DoubleNeg_P7_S4	DC4
DoubleNeg_P7_S5	DC4
DoubleNeg_P7_S6	DC3
DoubleNeg_P7_S7	DC4
DoubleNeg_P7_S8	DC4
DoubleNeg_P7_S9	DC4
DoubleNeg_P8_S25	DC4
DoubleNeg_P8_S26	DC3
DoubleNeg_P8_S27	DC4
DoubleNeg_P8_S28	DC4
DoubleNeg_P8_S30	DC4
DoubleNeg_P8_S31	DC4
DoubleNeg_P8_S32	DC4
DoubleNeg_P8_S33	DC4
DoubleNeg_P8_S34	DC4
DoubleNeg_P8_S35	DC4
DoubleNeg_P8_S36	DC4
DoubleNeg_P8_S37	DC4
DoubleNeg_P8_S38	DC4
DoubleNeg_P8_S39	DC4
DoubleNeg_P8_S40	DC4
DoubleNeg_P8_S42	DC4
DoubleNeg_P8_S43	DC4
DoubleNeg_P8_S44	DC4
DoubleNeg_P8_S45	DC3
DoubleNeg_P8_S46	DC4
DoubleNeg_P8_S47	DC4
DoubleNeg_P8_S48	DC4
DoubleNeg_P9_S49	DC4
DoubleNeg_P9_S50	DC4
DoubleNeg_P9_S51	DC4
DoubleNeg_P9_S52	DC4
DoubleNeg_P9_S54	DC4
DoubleNeg_P9_S55	DC4
DoubleNeg_P9_S56	DC4
DoubleNeg_P9_S57	DC4
DoubleNeg_P9_S58	DC4
DoubleNeg_P9_S59	DC3
DoubleNeg_P9_S60	DC4
DoubleNeg_P9_S61	DC5
DoubleNeg_P9_S63	DC4
DoubleNeg_P9_S64	DC4
DoubleNeg_P9_S65	DC4
DoubleNeg_P9_S66	DC4
DoubleNeg_P9_S67	DC4
DoubleNeg_P9_S68	DC4
DoubleNeg_P9_S69	DC4
DoubleNeg_P9_S70	DC4
DoubleNeg_P9_S71	DC4
DoubleNeg_P9_S72	DC4
pDC_P10_S73	DC6
pDC_P10_S74	DC6
pDC_P10_S75	DC6
pDC_P10_S76	DC6
pDC_P10_S77	DC6
pDC_P10_S78	DC6
pDC_P10_S79	DC6
pDC_P10_S80	DC6
pDC_P10_S81	DC6
pDC_P10_S82	DC6
pDC_P10_S83	DC6
pDC_P10_S84	DC6
pDC_P10_S85	DC6
pDC_P10_S86	DC6
pDC_P10_S87	DC6
pDC_P10_S88	DC6
pDC_P10_S89	DC5
pDC_P10_S90	DC6
pDC_P10_S91	DC6
pDC_P10_S92	DC6
pDC_P10_S93	DC6
pDC_P10_S94	DC5
pDC_P10_S95	DC6
pDC_P10_S96	DC6
pDC_P13_S49	DC6
pDC_P13_S50	DC6
pDC_P13_S51	DC6
pDC_P13_S52	DC6
pDC_P13_S53	DC6
pDC_P13_S54	DC6
pDC_P13_S55	DC6
pDC_P13_S56	DC6
pDC_P13_S58	DC6
pDC_P13_S59	DC6
pDC_P13_S60	DC6
pDC_P13_S61	DC6
pDC_P13_S62	DC6
pDC_P13_S63	DC6
pDC_P13_S64	DC6
pDC_P13_S65	DC6
pDC_P13_S66	DC6
pDC_P13_S67	DC6
pDC_P13_S68	DC6
pDC_P13_S69	DC6
pDC_P13_S70	DC6
pDC_P13_S71	DC6
pDC_P13_S72	DC6
pDC_P14_S73	DC6
pDC_P14_S74	DC6
pDC_P14_S75	DC6
pDC_P14_S76	DC6
pDC_P14_S77	DC6
pDC_P14_S78	DC6
pDC_P14_S79	DC6
pDC_P14_S80	DC6
pDC_P14_S81	DC6
pDC_P14_S82	DC6
pDC_P14_S83	DC6
pDC_P14_S85	DC6
pDC_P14_S86	DC6
pDC_P14_S87	DC6
pDC_P14_S88	DC6
pDC_P14_S89	DC6
pDC_P14_S90	DC6
pDC_P14_S91	DC6
pDC_P14_S92	DC6
pDC_P14_S93	DC5
pDC_P14_S94	DC6
pDC_P14_S95	DC6
pDC_P14_S96	DC6
pDC_P3_S10	DC6
pDC_P3_S11	DC6
pDC_P3_S12	DC6
pDC_P3_S13	DC6
pDC_P3_S14	DC6
pDC_P3_S15	DC5
pDC_P3_S16	DC6
pDC_P3_S17	DC6
pDC_P3_S18	DC6
pDC_P3_S19	DC6
pDC_P3_S1	DC6
pDC_P3_S20	DC6
pDC_P3_S21	DC6
pDC_P3_S22	DC6
pDC_P3_S23	DC6
pDC_P3_S24	DC6
pDC_P3_S2	DC5
pDC_P3_S3	DC5
pDC_P3_S4	DC6
pDC_P3_S5	DC6
pDC_P3_S6	DC6
pDC_P3_S7	DC6
pDC_P3_S8	DC6
pDC_P3_S9	DC6
pDC_P4_S25	DC6
pDC_P4_S26	DC6
pDC_P4_S27	DC6
pDC_P4_S28	DC6
pDC_P4_S29	DC6
pDC_P4_S30	DC6
pDC_P4_S31	DC6
pDC_P4_S32	DC6
pDC_P4_S33	DC6
pDC_P4_S34	DC6
pDC_P4_S35	DC6
pDC_P4_S36	DC6
pDC_P4_S38	DC6
pDC_P4_S40	DC6
pDC_P4_S41	DC6
pDC_P4_S42	DC6
pDC_P4_S44	DC6
pDC_P4_S45	DC6
pDC_P4_S46	DC6
pDC_P4_S47	DC6
pDC_P4_S48	DC6
pDC_P7_S10	DC5
pDC_P7_S11	DC6
pDC_P7_S12	DC6
pDC_P7_S13	DC6
pDC_P7_S14	DC6
pDC_P7_S15	DC5
pDC_P7_S16	DC5
pDC_P7_S17	DC6
pDC_P7_S18	DC6
pDC_P7_S19	DC6
pDC_P7_S1	DC6
pDC_P7_S20	DC6
pDC_P7_S21	DC6
pDC_P7_S22	DC6
pDC_P7_S23	DC6
pDC_P7_S24	DC6
pDC_P7_S2	DC6
pDC_P7_S3	DC6
pDC_P7_S4	DC6
pDC_P7_S5	DC5
pDC_P7_S6	DC6
pDC_P7_S7	DC6
pDC_P7_S8	DC6
pDC_P7_S9	DC6
pDC_P8_S25	DC6
pDC_P8_S26	DC6
pDC_P8_S27	DC6
pDC_P8_S28	DC6
pDC_P8_S30	DC6
pDC_P8_S31	DC6
pDC_P8_S32	DC6
pDC_P8_S33	DC6
pDC_P8_S34	DC6
pDC_P8_S35	DC5
pDC_P8_S36	DC6
pDC_P8_S37	DC6
pDC_P8_S38	DC6
pDC_P8_S39	DC6
pDC_P8_S40	DC6
pDC_P8_S42	DC6
pDC_P8_S44	DC6
pDC_P8_S45	DC6
pDC_P8_S46	DC6
pDC_P8_S47	DC6
pDC_P8_S48	DC6
pDC_P9_S49	DC6
pDC_P9_S50	DC6
pDC_P9_S51	DC6
pDC_P9_S52	DC6
pDC_P9_S54	DC6
pDC_P9_S55	DC6
pDC_P9_S56	DC6
pDC_P9_S57	DC6
pDC_P9_S58	DC6
pDC_P9_S59	DC6
pDC_P9_S60	DC6
pDC_P9_S61	DC6
pDC_P9_S63	DC6
pDC_P9_S64	DC6
pDC_P9_S65	DC6
pDC_P9_S66	DC6
pDC_P9_S67	DC6
pDC_P9_S68	DC6
pDC_P9_S69	DC6
pDC_P9_S70	DC6
pDC_P9_S71	DC6
pDC_P9_S72	DC6
Mono_classical_S100	Mono1
Mono_classical_S102	Mono1
Mono_classical_S103	Mono1
Mono_classical_S104	Mono1
Mono_classical_S105	Mono1
Mono_classical_S106	Mono1
Mono_classical_S107	Mono1
Mono_classical_S108	Mono1
Mono_classical_S109	Mono1
Mono_classical_S110	Mono1
Mono_classical_S111	Mono1
Mono_classical_S112	Mono1
Mono_classical_S113	Mono1
Mono_classical_S114	Mono1
Mono_classical_S116	Mono1
Mono_classical_S117	Mono1
Mono_classical_S118	Mono1
Mono_classical_S119	Mono1
Mono_classical_S121	Mono1
Mono_classical_S122	Mono1
Mono_classical_S123	Mono1
Mono_classical_S124	Mono1
Mono_classical_S13	Mono1
Mono_classical_S14	Mono1
Mono_classical_S15	Mono1
Mono_classical_S16	Mono1
Mono_classical_S17	Mono1
Mono_classical_S18	Mono1
Mono_classical_S19	Mono1
Mono_classical_S1	Mono1
Mono_classical_S21	Mono1
Mono_classical_S22	Mono2
Mono_classical_S23	Mono1
Mono_classical_S24	Mono1
Mono_classical_S25	Mono1
Mono_classical_S26	Mono1
Mono_classical_S27	Mono1
Mono_classical_S28	Mono1
Mono_classical_S29	Mono1
Mono_classical_S30	Mono1
Mono_classical_S31	Mono1
Mono_classical_S32	Mono1
Mono_classical_S33	Mono1
Mono_classical_S34	Mono1
Mono_classical_S35	Mono1
Mono_classical_S37	Mono1
Mono_classical_S38	Mono1
Mono_classical_S39	Mono1
Mono_classical_S3	Mono2
Mono_classical_S41	Mono2
Mono_classical_S42	Mono1
Mono_classical_S43	Mono1
Mono_classical_S44	Mono1
Mono_classical_S45	Mono1
Mono_classical_S46	Mono1
Mono_classical_S47	Mono1
Mono_classical_S48	Mono1
Mono_classical_S49	Mono1
Mono_classical_S4	Mono1
Mono_classical_S50	Mono1
Mono_classical_S51	Mono1
Mono_classical_S52	Mono1
Mono_classical_S53	Mono1
Mono_classical_S54	Mono1
Mono_classical_S55	Mono1
Mono_classical_S56	Mono1
Mono_classical_S57	Mono1
Mono_classical_S58	Mono1
Mono_classical_S59	Mono1
Mono_classical_S5	Mono1
Mono_classical_S60	Mono1
Mono_classical_S61	Mono1
Mono_classical_S62	Mono1
Mono_classical_S63	Mono1
Mono_classical_S64	Mono1
Mono_classical_S65	Mono1
Mono_classical_S66	Mono1
Mono_classical_S67	Mono1
Mono_classical_S68	Mono1
Mono_classical_S69	Mono1
Mono_classical_S6	Mono1
Mono_classical_S70	Mono2
Mono_classical_S71	Mono1
Mono_classical_S72	Mono2
Mono_classical_S73	Mono1
Mono_classical_S74	Mono1
Mono_classical_S75	Mono1
Mono_classical_S76	Mono1
Mono_classical_S77	Mono2
Mono_classical_S78	Mono1
Mono_classical_S79	Mono1
Mono_classical_S80	Mono1
Mono_classical_S81	Mono1
Mono_classical_S82	Mono1
Mono_classical_S83	Mono1
Mono_classical_S84	Mono1
Mono_classical_S85	Mono1
Mono_classical_S86	Mono1
Mono_classical_S87	Mono1
Mono_classical_S88	Mono3
Mono_classical_S89	Mono1
Mono_classical_S8	Mono1
Mono_classical_S90	Mono1
Mono_classical_S91	Mono1
Mono_classical_S92	Mono1
Mono_classical_S93	Mono1
Mono_classical_S94	Mono1
Mono_classical_S95	Mono1
Mono_classical_S96	Mono1
Mono_classical_S97	Mono1
Mono_classical_S98	Mono1
Mono_classical_S99	Mono1
Mono_intermediate_S100	Mono3
Mono_intermediate_S102	Mono2
Mono_intermediate_S103	Mono2
Mono_intermediate_S104	Mono2
Mono_intermediate_S105	Mono1
Mono_intermediate_S107	Mono3
Mono_intermediate_S108	Mono4
Mono_intermediate_S109	Mono1
Mono_intermediate_S10	Mono1
Mono_intermediate_S110	Mono1
Mono_intermediate_S111	Mono1
Mono_intermediate_S112	Mono2
Mono_intermediate_S113	Mono1
Mono_intermediate_S114	Mono3
Mono_intermediate_S115	Mono1
Mono_intermediate_S116	Mono3
Mono_intermediate_S117	Mono1
Mono_intermediate_S119	Mono3
Mono_intermediate_S11	Mono3
Mono_intermediate_S121	Mono1
Mono_intermediate_S122	Mono1
Mono_intermediate_S123	Mono1
Mono_intermediate_S12	Mono1
Mono_intermediate_S13	Mono1
Mono_intermediate_S14	Mono1
Mono_intermediate_S15	Mono3
Mono_intermediate_S16	Mono2
Mono_intermediate_S17	Mono1
Mono_intermediate_S18	Mono3
Mono_intermediate_S1	DC4
Mono_intermediate_S20	Mono3
Mono_intermediate_S22	Mono1
Mono_intermediate_S23	Mono3
Mono_intermediate_S24	Mono1
Mono_intermediate_S25	Mono3
Mono_intermediate_S26	Mono1
Mono_intermediate_S28	Mono1
Mono_intermediate_S29	Mono1
Mono_intermediate_S2	Mono1
Mono_intermediate_S30	Mono1
Mono_intermediate_S31	Mono1
Mono_intermediate_S32	Mono1
Mono_intermediate_S33	Mono3
Mono_intermediate_S34	Mono2
Mono_intermediate_S36	Mono4
Mono_intermediate_S37	Mono2
Mono_intermediate_S38	Mono3
Mono_intermediate_S39	Mono1
Mono_intermediate_S3	Mono4
Mono_intermediate_S41	Mono4
Mono_intermediate_S43	Mono4
Mono_intermediate_S44	Mono1
Mono_intermediate_S45	Mono1
Mono_intermediate_S46	Mono1
Mono_intermediate_S47	Mono1
Mono_intermediate_S48	Mono4
Mono_intermediate_S4	Mono1
Mono_intermediate_S50	Mono3
Mono_intermediate_S51	Mono4
Mono_intermediate_S52	Mono3
Mono_intermediate_S53	Mono1
Mono_intermediate_S54	Mono1
Mono_intermediate_S55	Mono1
Mono_intermediate_S56	Mono4
Mono_intermediate_S57	Mono3
Mono_intermediate_S58	Mono1
Mono_intermediate_S59	Mono3
Mono_intermediate_S5	Mono3
Mono_intermediate_S61	Mono1
Mono_intermediate_S62	Mono2
Mono_intermediate_S63	Mono2
Mono_intermediate_S64	Mono1
Mono_intermediate_S65	Mono3
Mono_intermediate_S66	Mono1
Mono_intermediate_S67	Mono1
